2026-08-07 00:08:40,321 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,348 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,349 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,368 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,371 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,374 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,374 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,375 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,375 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,395 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,397 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,414 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,415 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,427 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,429 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,429 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,430 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,443 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,445 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,445 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,458 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,459 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,477 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,480 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,482 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,482 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,483 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,483 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,505 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,507 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,507 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,520 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,524 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,540 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,567 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,569 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
